first_name,last_name,email,membership_id,phone_number,join_date,sex,address,library_card_string,status
Ved,Lohati,ved@gmail.com,m_11111,9038769120,15-03-2020,M,"123 Park Street, Kolkata - 700016","""000""",active
Rhythm,Kedia,rhythm@gmail.com,m_11112,9748424320,28-07-2020,M,"456 Lake Avenue, Kolkata - 700026","""001""",active
Rajdeep,Mishra,rajdeep@gmail.com,m_11113,8902675430,10-11-2020,M,"789 Chowringhee Road, Kolkata - 700020","""010""",active
Dwiji,Patel,dwiji@gmail.com,m_11114,8902654730,23-02-2021,F,"101 Esplanade Row, Kolkata - 700069","""011""",active
Raghav,Sharma,raghav@gmail.com,m_11115,9748465320,07-06-2021,M,"202 Theatre Road, Kolkata - 700017","""100""",active
Shawn,Koshy,shawn@gmail.com,m_11116,9278654320,20-09-2021,M,"1616 Behala Chowrasta, Kolkata - 700034","""101""",active
Bismit,Sahoo,bismit@gmail.com,m_11117,9767457690,03-01-2022,M,"303 College Street, Kolkata - 700012","""110""",active
Namish,Bansal,namish@gmail.com,m_11118,8907413420,20-09-2021,M,"404 Camac Street, Kolkata - 700016","""111""",active
Raghav,Sharma,raghav1@gmail.com,m_11119,8974723430,01-08-2022,M,"505 Strand Road, Kolkata - 700007","""000""",active
Nitanshu,Bhatuda,nitanshu@gmail.com,m_11120,9876243540,14-11-2022,M,"606 Rabindra Sarani, Kolkata - 700073","""001""",active
Raghav,Jha,raghav2@gmail.com,m_11121,7473229110,01-03-2023,M,"707 Diamond Harbour Road, Kolkata - 700023","""010""",active
Muhammad,Kaid,muhammad@gmail.com,m_11122,8954532410,15-06-2023,M,"808 Howrah Bridge, Kolkata - 700001","""011""",active
Ishaan,Gupta,ishaan1@gmail.com,m_11123,9054632860,28-09-2023,M,"909 Gariahat Road, Kolkata - 700019","""100""",active
Lalit,Gupta,ishaan@gmail.com,m_11124,9748422240,12-12-2023,M,"1010 Salt Lake City, Kolkata - 700091","""101""",active
Rishit,Agarwal,rishit@gmail.com,m_11125,9051382340,08-02-2020,M,"1111 Jessore Road, Kolkata - 700074","""110""",active
Ananya,Patel,ananya1@gmail.com,m_11126,8964162550,22-06-2020,M,"1212 Park Circus, Kolkata - 700017","""111""",active
Anshul,Goyal,anshul@gmail.com,m_11127,9051666650,05-10-2020,M,"1313 Dum Dum Road, Kolkata - 700074","""000""",active
Ananya,Dutta,ananya@gmail.com,m_11128,9051645550,18-01-2021,F,"1414 Ballygunge Circular Road, Kolkata - 700019","""001""",active
Sagnik,Das,sagnik@gmail.com,m_11129,7473345320,03-05-2021,M,"1515 Kasba Rathtala, Kolkata - 700107","""010""",active
,,,,,,,,,
